#,NAME,FOLLOWERS,TP,COUNTRY,TOPIC OF INFLUENCE,POTENTIAL RANGE,KEEP,INVITE TO THE CAMPAIGN,
1,NoCopyrightSounds @UC_aEa8K-EOJ3D6gOs7HcyNg,32.9M,-,United Kingdom,,9.9M,,View Profile, 
2,DanTDM @UCS5Oz6CHmeoF7vSad0qqXfw,26.3M,-,United Kingdom,,7.9M,,View Profile,
3,KSI @UCVtFOytbRpEvzLjvqGG5gxQ,24M,-,United Kingdom,,7.2M,,View Profile,
4,Mister Max @UC_8PAD0Qmi6_gpe77S1Atgg,23M,0.10%,United Kingdom,,6.9M,,View Profile,
5,Jelly @UC0DZmkupLYwc0yDsfocLh0A,22.9M,-,United Kingdom,,6.9M,,View Profile,
6,Miss Katy @UCcartHVtvAUzfajflyeT_Gg,22.6M,-,United Kingdom,,6.8M,,View Profile,
7,Dua Lipa @UC-J-KZfRV8c13fOCkhXdLiQ,21.1M,-,United Kingdom,,6.3M,,View Profile,
8,Dan Rhodes @UC6D1L2vxEAg_Vi0JSxMBDgA,17.7M,0.30%,United Kingdom,,5.3M,,View Profile,
9,Ali-A @UCYVinkwSX7szARULgYpvhLw,17.7M,-,United Kingdom,,5.3M,,View Profile,
10,Gaby and Alex @UCHwBjRoGO1V-H8QYXjSVHkQ,17M,-,United Kingdom,,5.1M,,View Profile,
11,Sidemen @UCDogdKl7t7NHzQ95aEwkdMw,17M,2.80%,United Kingdom,,5.1M,,View Profile,
12,Queen Official @UCiMhD4jzUqG-IgPzUmmytRQ,16.3M,-,United Kingdom,,4.9M,,View Profile,
13,Little Mix @UCIvqWqjC4aLvp7zI8hzARrA,16.1M,-,United Kingdom,,4.8M,,View Profile,
14,JJ Olatunji @UCGmnsW623G1r-Chmo5RB4Yw,15.9M,-,United Kingdom,,4.8M,,View Profile,
15,F2Freestylers - Ultimate Soccer Skills Channel @UCKvn9VBLAiLiYL4FFJHri6g,14M,0.20%,United Kingdom,,4.2M,,View Profile,
16,BBC News @UC16niRr50-MSBwiO3YDb3RA,13.3M,-,United Kingdom,,4M,,View Profile,
17,BBC @UCCj956IF62FbT7Gouszaj9w,12.9M,-,United Kingdom,,3.9M,,View Profile,
18,Awakening Music @UCBq5hp6DvwWam2XOXw6lYJA,12.4M,-,United Kingdom,,3.7M,,View Profile,
19,DisneyChannelUK @UCLeuoGy_hUDTBf5Hk0ynrpQ,12.3M,-,United Kingdom,,3.7M,,View Profile,
20,colinfurze @UCp68_FLety0O-n9QU6phsgw,11.9M,0.60%,United Kingdom,,3.6M,,View Profile,
21,Mrwhosetheboss @UCMiJRAwDNSNzuYeN2uWa0pA,11.8M,1.90%,United Kingdom,,3.5M,,View Profile,
22,TommyInnit @UC5p_l5ZeB_wGjO_yDXwiqvw,11.7M,-,United Kingdom,,3.5M,,View Profile,
23,Morgz @UCBwSufNse8VMBvQM_rCSvgQ,11.6M,0.10%,United Kingdom,,3.5M,,View Profile,
24,Tiana @UC6sSkkemzPjmrzS0Y0V_2zw,11.4M,-,United Kingdom,,3.4M,,View Profile,
25,DisneyJuniorUK @UC7Gf2tZ8coTX2ckTPgn62iQ,11.2M,-,United Kingdom,,3.4M,,View Profile,
26,Emily Tube @UC-0D1RlSzcvBoODCKSoLl2g,11M,-,United Kingdom,,3.3M,,View Profile,
27,Slogo @UCHdMK5Ef2El8KbD3L_WgANg,10.9M,-,United Kingdom,,3.3M,,View Profile,
28,Jessie J @UC4pEp0mo54WhEBCTYvjVDJA,10.4M,-,United Kingdom,,3.1M,,View Profile,
29,Sing King @UCwTRjvjVge51X-ILJ4i22ew,10.2M,-,United Kingdom,,3.1M,,View Profile,
30,BBC News عربي @UCelk6aHijZq-GJBBB9YpReA,10.1M,-,United Kingdom,,3M,,View Profile,
31,Classic Mr Bean @UCEwIUtFBhaI2L2PuKv0KL2g,9.9M,-,United Kingdom,,3M,,View Profile,
32,Syndicate @UC1ieoHqKW-yYgDhLHIcx28w,9.7M,-,United Kingdom,,2.9M,,View Profile,
33,Gorillaz @UCfIXdjDQH9Fau7y99_Orpjw,9.4M,0.10%,United Kingdom,,2.8M,,View Profile,
34,Woody & Kleiny @UCoGForHQAmk0_9rI9CABeYw,9.4M,1.10%,United Kingdom,,2.8M,,View Profile,
35,Jungle Beat @UChUHOEe7zgYmrv7a_LlpNng,9.3M,-,United Kingdom,,2.8M,,View Profile,
36,Julius Dein @UCCNaMMlI3cOc7yFg52riTqg,9.2M,-,United Kingdom,,2.8M,,View Profile,
37,The X Factor UK @UCEY1ejsweY4DgMwOVJeEaBA,9.1M,0.10%,United Kingdom,,2.7M,,View Profile,
38,English with Lucy @UCz4tgANd4yy8Oe0iXCdSWfA,9M,-,United Kingdom,,2.7M,,View Profile,
39,Shaun the Sheep @UCS7H8U-n5mINVJjJsaRtGHg,8.9M,-,United Kingdom,,2.7M,,View Profile,
40,Cartoons for Kids @UC977n5nXRn8MDuGQjwxkOLw,8.7M,-,United Kingdom,,2.6M,,View Profile,
41,Mumbo Jumbo @UChFur_NwVSbUozOcF_F2kMg,8.5M,1.70%,United Kingdom,,2.6M,,View Profile,
42,Top Gear @UCjOl2AUblVmg2rA_cRgZkFg,8.4M,-,United Kingdom,,2.5M,,View Profile,
43,Moonbug Kids - Kids Learning Videos @UC1QqdFv5e9QSEi0eYdfwuqw,8.3M,-,United Kingdom,,2.5M,,View Profile,
44,BBC Radio 1 @UC-FQUIVQ-bZiefzBiQAa8Fw,8.1M,-,United Kingdom,,2.4M,,View Profile,
45,Liverpool FC @UC9LQwHZoucFT94I2h6JOcjw,8M,-,United Kingdom,,2.4M,,View Profile,
46,Grian @UCR9Gcq0CMm6YgTzsDxAxjOQ,7.8M,1.80%,United Kingdom,,2.3M,,View Profile,
47,Daz Games @UCDBCCMlFD-hArPbWv38FINA,7.6M,0.30%,United Kingdom,,2.3M,,View Profile,
48,Vikkstar123 @UCvwgF_0NOZe2vN4Q3g1bY-A,7.6M,-,United Kingdom,,2.3M,,View Profile,
49,PlayToys @UCHFA6Nt11kE_8OWIya0SQDQ,7.6M,-,United Kingdom,,2.3M,,View Profile,
50,carwow @UCUhFaUpnq31m6TNX2VKVSVA,7.5M,0.20%,United Kingdom,,2.2M,,View Profile,
51,Jeremy Lynch @UC5Y1pPVNm-odhiubuRO1D6A,7.4M,-,United Kingdom,,2.2M,,View Profile,
52,TomSka @UCOYWgypDktXdb-HfZnSMK6A,7.2M,2.20%,United Kingdom,,2.2M,,View Profile,
53,YOGSCAST Lewis & Simon @UCH-_hzb2ILSCo9ftVSnrCIQ,7.1M,-,United Kingdom,,2.1M,,View Profile,
54,LDShadowLady @UCzTlXb7ivVzuFlugVCv3Kvg,7M,-,United Kingdom,,2.1M,,View Profile,
55,The Beatles @UCc4K7bAqpdBP8jh1j9XZAww,6.9M,0.10%,United Kingdom,,2.1M,,View Profile,
56,Passenger @UCFHtCB_FWXQ8GpjgfYcD8-g,6.9M,-,United Kingdom,,2.1M,,View Profile,
57,MessYourself @UCrSgaO6xOY8YV1EoCbD51HA,6.9M,-,United Kingdom,,2.1M,,View Profile,
58,MoreSidemen @UCh5mLn90vUaB1PbRRx_AiaA,6.8M,0.60%,United Kingdom,,2M,,View Profile,
59,Boomerang UK @UCmst562fALOY2cKb4IFgqEg,6.8M,-,United Kingdom,,2M,,View Profile,
60,James Arthur @UCV5Gw7GGOMxe6SSF6llp_3Q,6.8M,-,United Kingdom,,2M,,View Profile,
61,ARPO The Robot @UCrSx8rek9EuC3YGHvG8aalw,6.7M,-,United Kingdom,,2M,,View Profile,
62,24 News HD @UCcmpeVbSSQlZRvHfdC-CRwg,6.7M,-,United Kingdom,,2M,,View Profile,
63,RubyandBonnie @UC_wITz-Ze4JFc3WLQA1n3Hw,6.6M,-,United Kingdom,,2M,,View Profile,
64,Nickelodeon UK @UCHiceVclOIFCgAcveITRLLw,6.6M,-,United Kingdom,,2M,,View Profile,
65,Mark Ronson @UCSY5V7BJSrxNvvBF0Drslow,6.5M,-,United Kingdom,,2M,,View Profile,
66,Rhia Official @UCQdsJ95w9jh-yB0BA6EDGWA,6.4M,-,United Kingdom,,1.9M,,View Profile,
67,UKF Dubstep @UCfLFTP1uTuIizynWsZq2nkQ,6.3M,-,United Kingdom,,1.9M,,View Profile,
68,TGFbro @UCOgUcv_9DaivXzsN9mcHIzQ,6.2M,0.90%,United Kingdom,,1.9M,,View Profile,
69,Wilbur Soot @UC1n_PfsVqxllCcnMPlxBIjw,6.2M,2.60%,United Kingdom,,1.9M,,View Profile,
70,Russell Brand @UCswH8ovgUp5Bdg-0_JTYFNw,6.2M,-,United Kingdom,,1.9M,,View Profile,
71,Manchester United @UC6yW44UGJJBvYTlfC7CRg2Q,6.2M,0.20%,United Kingdom,,1.9M,,View Profile,
72,Pingu - Official Channel @UCM88mtSE0zRTn5ae4EbYcuw,6.2M,-,United Kingdom,,1.8M,,View Profile,
73,Mrwhosetheboss Shorts @UCZSlfzadjnw7G419c_OJ9eg,6.1M,-,United Kingdom,,1.8M,,View Profile,
74,Niko Omilana @UCdcUmdOxMrhRjKMw-BX19AA,6M,16.20%,United Kingdom,,1.8M,,View Profile,
75,Tiana Wilson @UC7_yh9PEDpaqp34QtGO-_Yw,5.9M,-,United Kingdom,,1.8M,,View Profile,
76,Capital FM @UCZzwjZPc6R_PbnDgFVMwlvQ,5.8M,-,United Kingdom,,1.7M,,View Profile,
77,Simon's Cat @UCH6vXjt-BA7QHl0KnfL-7RQ,5.8M,0.30%,United Kingdom,,1.7M,,View Profile,
78,CGP Grey @UC2C_jShtL725hvbm1arSV9w,5.8M,-,United Kingdom,,1.7M,,View Profile,
79,Jamie Oliver @UCpSgg_ECBj25s9moCDfSTsA,5.8M,-,United Kingdom,,1.7M,,View Profile,
80,ChrisMD @UCQ-YJstgVdAiCT52TiBWDbg,5.6M,2.20%,United Kingdom,,1.7M,,View Profile,
81,Dumori Bay @UC-VDfQNL-S44eZscGlXI14g,5.6M,-,United Kingdom,,1.7M,,View Profile,
82,Space Videos @UCakgsb0w7QB0VHdnCc-OVEA,5.5M,-,United Kingdom,,1.7M,,View Profile,
83,Real Stories @UCu4XcDBdnZkV6-5z2f16M0g,5.5M,-,United Kingdom,,1.7M,,View Profile,
84,More Emily @UCO66lK14MYiXlu0A6pQ4ouA,5.4M,-,United Kingdom,,1.6M,,View Profile,
85,GRM Daily @UCqTwKvjbTENZDGbz2si47ag,5.3M,-,United Kingdom,,1.6M,,View Profile,
